id,name,date,action,description
"408037","dfsdf","Sat Nov 15 15:29:10 CST 2014","Log out","dfsdf logged out."
"408037","dfsdf","Sat Nov 15 15:29:13 CST 2014","Log in","dfsdf logged in."
"789456","Tori Kiesel","Sat Nov 15 15:29:16 CST 2014","Log out","Tori Kiesel logged out."
"789456","Tori Kiesel","Sat Nov 15 15:29:18 CST 2014","Log in","Tori Kiesel logged in."
"408037","dfsdf","Sat Nov 15 15:29:23 CST 2014","Remove signout entry","dfsdf removed signout entry for Fri, Nov. 21, 2014."
"789456","Tori Kiesel","Sat Nov 15 15:29:30 CST 2014","Remove signout entry","Tori Kiesel removed signout entry for Sun, Nov. 16, 2014."
"789456","Tori Kiesel","Sat Nov 15 15:32:47 CST 2014","Log out","Tori Kiesel logged out."
"789456","Tori Kiesel","Sat Nov 15 15:33:05 CST 2014","Remove signout entry","Tori Kiesel removed signout entry for Sat, Nov. 15, 2014."
"789456","Tori Kiesel","Sat Nov 15 15:33:10 CST 2014","Add signout entry","Tori Kiesel added signout entry for Sat, Nov. 15, 2014. Reason: test"
"789456","Tori Kiesel","Sat Nov 15 15:33:10 CST 2014","Signout","Tori Kiesel is signed out for today. Reason: test"
